path,size_kb,category,reason
INSTALL_PHONE_ACCESS_UI_FIX_v3.py,3.3,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v3), и рядом существует файл без суффикса: INSTALL_PHONE_ACCESS_UI_FIX.py"
INSTALL_phone_barrier_access_v2.py,4.4,HIGH:one_off_fix_bundle,часть связки INSTALL_*/MIGRATE_*/RUN_*/README_* одного точечного фикса
INSTALL_profile_button_early_route_fix.py,2.3,HIGH:one_off_fix_bundle,часть связки INSTALL_*/MIGRATE_*/RUN_*/README_* одного точечного фикса
INSTALL_profile_confirmation_ready_visibility_fix.py,2.2,HIGH:one_off_fix_bundle,часть связки INSTALL_*/MIGRATE_*/RUN_*/README_* одного точечного фикса
INSTALL_profile_critical_codes_fix.py,2.2,HIGH:one_off_fix_bundle,часть связки INSTALL_*/MIGRATE_*/RUN_*/README_* одного точечного фикса
INSTALL_profile_parking_time_test_v1.py,3.8,HIGH:one_off_fix_bundle,часть связки INSTALL_*/MIGRATE_*/RUN_*/README_* одного точечного фикса
INSTALL_profile_verification_terminology_v2.py,3.8,HIGH:one_off_fix_bundle,часть связки INSTALL_*/MIGRATE_*/RUN_*/README_* одного точечного фикса
INSTALL_profile_verification_v1.py,2.7,HIGH:one_off_fix_bundle,часть связки INSTALL_*/MIGRATE_*/RUN_*/README_* одного точечного фикса
INSTALL_service_code_compatibility_phone_v2.py,3.4,HIGH:one_off_fix_bundle,часть связки INSTALL_*/MIGRATE_*/RUN_*/README_* одного точечного фикса
manage_staff_access_v2.py,15.0,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v2), и рядом существует файл без суффикса: manage_staff_access.py"
migrate_operator_audit_log_v2.py,5.1,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v2), и рядом существует файл без суффикса: migrate_operator_audit_log.py"
MIGRATE_phone_barrier_access_operational_sandbox.py,4.7,HIGH:one_off_fix_bundle,"одноразовый MIGRATE_* (заглавный) — часть связки точечного фикса, не история миграций БД"
MIGRATE_phone_barrier_access_operational_sandbox.py,4.7,REVIEW:sandbox_name,в пути встречается 'sandbox'
MIGRATE_phone_barrier_access_sandbox.py,4.5,HIGH:one_off_fix_bundle,"одноразовый MIGRATE_* (заглавный) — часть связки точечного фикса, не история миграций БД"
MIGRATE_phone_barrier_access_sandbox.py,4.5,REVIEW:sandbox_name,в пути встречается 'sandbox'
MIGRATE_profile_parking_time_test_sandbox.py,3.0,HIGH:one_off_fix_bundle,"одноразовый MIGRATE_* (заглавный) — часть связки точечного фикса, не история миграций БД"
MIGRATE_profile_parking_time_test_sandbox.py,3.0,REVIEW:sandbox_name,в пути встречается 'sandbox'
MIGRATE_profile_verification_sandbox.py,2.5,HIGH:one_off_fix_bundle,"одноразовый MIGRATE_* (заглавный) — часть связки точечного фикса, не история миграций БД"
MIGRATE_profile_verification_sandbox.py,2.5,REVIEW:sandbox_name,в пути встречается 'sandbox'
MIGRATE_simplified_services_sandbox.py,4.4,HIGH:one_off_fix_bundle,"одноразовый MIGRATE_* (заглавный) — часть связки точечного фикса, не история миграций БД"
MIGRATE_simplified_services_sandbox.py,4.4,REVIEW:sandbox_name,в пути встречается 'sandbox'
OSBB_apartment_40_profile_test_preflight.zip,4.9,HIGH:root_zip_bundle,готовый zip-бандл точечного патча в корне проекта
OSBB_cashier_route_fix.zip,7.9,HIGH:root_zip_bundle,готовый zip-бандл точечного патча в корне проекта
OSBB_cashier_route_repair_after_phone_v2.zip,10.2,HIGH:root_zip_bundle,готовый zip-бандл точечного патча в корне проекта
OSBB_phone_access_ui_fix.zip,15.2,HIGH:root_zip_bundle,готовый zip-бандл точечного патча в корне проекта
OSBB_phone_access_ui_fix_v3.zip,16.4,HIGH:root_zip_bundle,готовый zip-бандл точечного патча в корне проекта
OSBB_phone_access_ui_fix_v3.zip,16.4,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v3), и рядом существует файл без суффикса: OSBB_phone_access_ui_fix.zip"
OSBB_phone_barrier_access_schema_migration.zip,12.4,HIGH:root_zip_bundle,готовый zip-бандл точечного патча в корне проекта
OSBB_phone_barrier_access_v2_working_sandbox.zip,57.4,HIGH:root_zip_bundle,готовый zip-бандл точечного патча в корне проекта
OSBB_phone_barrier_access_v2_working_sandbox.zip,57.4,REVIEW:sandbox_name,в пути встречается 'sandbox'
OSBB_profile_button_early_route_fix_v2.zip,12.8,HIGH:root_zip_bundle,готовый zip-бандл точечного патча в корне проекта
OSBB_profile_confirmation_ready_visibility_fix.zip,10.2,HIGH:root_zip_bundle,готовый zip-бандл точечного патча в корне проекта
OSBB_profile_parking_time_test_v1_sandbox.zip,25.5,HIGH:root_zip_bundle,готовый zip-бандл точечного патча в корне проекта
OSBB_profile_parking_time_test_v1_sandbox.zip,25.5,REVIEW:sandbox_name,в пути встречается 'sandbox'
OSBB_profile_verification_terminology_v2 (1).zip,39.1,HIGH:root_zip_bundle,готовый zip-бандл точечного патча в корне проекта
OSBB_profile_verification_v1_sandbox_final.zip,47.3,HIGH:root_zip_bundle,готовый zip-бандл точечного патча в корне проекта
OSBB_profile_verification_v1_sandbox_final.zip,47.3,REVIEW:sandbox_name,в пути встречается 'sandbox'
OSBB_service_code_compatibility_repair_phone_v2.zip,38.7,HIGH:root_zip_bundle,готовый zip-бандл точечного патча в корне проекта
OSBB_Service_Orders_Foundation_v1.zip,22.5,HIGH:root_zip_bundle,готовый zip-бандл точечного патча в корне проекта
OSBB_simplified_services_preorders_bundle.zip,34.8,HIGH:root_zip_bundle,готовый zip-бандл точечного патча в корне проекта
patch_cashier_v2_core_period_and_schemafix.py,15.6,HIGH:patch_script,"одноразовый скрипт-патч исходников (история применения, не рабочий код)"
patch_cashier_v2_core_schemafix.py,13.2,HIGH:patch_script,"одноразовый скрипт-патч исходников (история применения, не рабочий код)"
patch_guard_workspace_default_cash_note.py,6.8,HIGH:patch_script,"одноразовый скрипт-патч исходников (история применения, не рабочий код)"
patch_guard_workspace_direct_notice_confirm.py,5.0,HIGH:patch_script,"одноразовый скрипт-патч исходников (история применения, не рабочий код)"
patch_parking_bot_cashier_operator.py,6.4,HIGH:patch_script,"одноразовый скрипт-патч исходников (история применения, не рабочий код)"
patch_parking_bot_client_cabinet.py,5.2,HIGH:patch_script,"одноразовый скрипт-патч исходников (история применения, не рабочий код)"
patch_parking_bot_client_portal.py,6.9,HIGH:patch_script,"одноразовый скрипт-патч исходников (история применения, не рабочий код)"
patch_parking_bot_guard_workspace_v2.py,9.6,HIGH:patch_script,"одноразовый скрипт-патч исходников (история применения, не рабочий код)"
patch_parking_bot_guard_workspace_v3.py,8.4,HIGH:patch_script,"одноразовый скрипт-патч исходников (история применения, не рабочий код)"
patch_parking_bot_guard_workspace_v4.py,9.0,HIGH:patch_script,"одноразовый скрипт-патч исходников (история применения, не рабочий код)"
patch_parking_bot_launch_queues_menu.py,3.6,HIGH:patch_script,"одноразовый скрипт-патч исходников (история применения, не рабочий код)"
patch_parking_bot_service_orders_ui_v1.py,11.5,HIGH:patch_script,"одноразовый скрипт-патч исходников (история применения, не рабочий код)"
patch_parking_bot_service_orders_ui_v2.py,16.9,HIGH:patch_script,"одноразовый скрипт-патч исходников (история применения, не рабочий код)"
patch_parking_bot_service_orders_v1.py,3.1,HIGH:patch_script,"одноразовый скрипт-патч исходников (история применения, не рабочий код)"
plate_consensus_apply.py,10.1,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
plate_consensus_report.py,23.8,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
plate_consensus_report_v3.py,22.0,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
plate_consensus_report_v3.py,22.0,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v3), и рядом существует файл без суффикса: plate_consensus_report.py"
plate_consensus_top6.py,2.7,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
README_APARTMENT_40_PROFILE_TEST_PREFLIGHT.txt,1.4,HIGH:one_off_fix_bundle,README_*.txt — описание одноразового фикса
README_CASHIER_ROUTE_FIX.txt,1.6,HIGH:one_off_fix_bundle,README_*.txt — описание одноразового фикса
README_CASHIER_ROUTE_REPAIR_AFTER_PHONE_V2.txt,1.7,HIGH:one_off_fix_bundle,README_*.txt — описание одноразового фикса
README_LIVE_SERVICES_SANDBOX.txt,2.6,HIGH:one_off_fix_bundle,README_*.txt — описание одноразового фикса
README_LIVE_SERVICES_SANDBOX.txt,2.6,REVIEW:sandbox_name,в пути встречается 'sandbox'
README_LIVE_SERVICE_UI.txt,0.7,HIGH:one_off_fix_bundle,README_*.txt — описание одноразового фикса
README_PHONE_ACCESS_FIX.txt,3.1,HIGH:one_off_fix_bundle,README_*.txt — описание одноразового фикса
README_PHONE_ACCESS_FIX_v2.txt,1.6,HIGH:one_off_fix_bundle,README_*.txt — описание одноразового фикса
README_PHONE_ACCESS_FIX_v2.txt,1.6,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v2), и рядом существует файл без суффикса: README_PHONE_ACCESS_FIX.txt"
README_PHONE_ACCESS_FIX_v3.txt,1.8,HIGH:one_off_fix_bundle,README_*.txt — описание одноразового фикса
README_PHONE_ACCESS_FIX_v3.txt,1.8,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v3), и рядом существует файл без суффикса: README_PHONE_ACCESS_FIX.txt"
README_PHONE_BARRIER_ACCESS_SCHEMA_MIGRATION.txt,3.5,HIGH:one_off_fix_bundle,README_*.txt — описание одноразового фикса
README_PHONE_BARRIER_ACCESS_V2.txt,7.5,HIGH:one_off_fix_bundle,README_*.txt — описание одноразового фикса
README_PROFILE_BUTTON_EARLY_ROUTE_FIX.txt,2.3,HIGH:one_off_fix_bundle,README_*.txt — описание одноразового фикса
README_PROFILE_CONFIRMATION_READY_VISIBILITY_FIX.txt,1.6,HIGH:one_off_fix_bundle,README_*.txt — описание одноразового фикса
README_PROFILE_CRITICAL_CODES_FIX.txt,2.3,HIGH:one_off_fix_bundle,README_*.txt — описание одноразового фикса
README_PROFILE_PARKING_TIME_TEST_V1.txt,4.5,HIGH:one_off_fix_bundle,README_*.txt — описание одноразового фикса
README_PROFILE_VERIFICATION_TERMINOLOGY_V2.txt,5.3,HIGH:one_off_fix_bundle,README_*.txt — описание одноразового фикса
README_PROFILE_VERIFICATION_V1.txt,3.9,HIGH:one_off_fix_bundle,README_*.txt — описание одноразового фикса
README_SERVICE_CODE_COMPATIBILITY_PHONE_V2.txt,2.1,HIGH:one_off_fix_bundle,README_*.txt — описание одноразового фикса
README_SIMPLIFIED_SERVICES.txt,3.8,HIGH:one_off_fix_bundle,README_*.txt — описание одноразового фикса
report_bot_admins.py,4.2,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
report_plate_candidates.py,6.2,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
report_verification_evidence.py,5.4,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
report_verification_tasks.py,3.7,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
report_verification_tasks_enriched.py,7.0,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
RETIRE_legacy_new_remote_test_orders_sandbox.py,4.3,REVIEW:sandbox_name,в пути встречается 'sandbox'
run_bot_guard_sandbox.py,7.4,REVIEW:sandbox_name,в пути встречается 'sandbox'
run_bot_guard_sandbox_v2.py,7.4,REVIEW:sandbox_name,в пути встречается 'sandbox'
run_bot_guard_sandbox_v2.py,7.4,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v2), и рядом существует файл без суффикса: run_bot_guard_sandbox.py"
run_bot_guard_sandbox_v3.py,7.4,REVIEW:sandbox_name,в пути встречается 'sandbox'
run_bot_guard_sandbox_v3.py,7.4,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v3), и рядом существует файл без суффикса: run_bot_guard_sandbox.py"
run_bot_live_services_sandbox_v1.py,33.1,REVIEW:sandbox_name,в пути встречается 'sandbox'
run_bot_live_service_sandbox_v4.py,8.1,REVIEW:sandbox_name,в пути встречается 'sandbox'
run_bot_sandbox_v2.py,9.3,REVIEW:sandbox_name,в пути встречается 'sandbox'
RUN_CHECK_cashier_route_after_phone_v2.bat,0.3,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_CHECK_guard_sandbox_service_orders.bat,0.9,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_CHECK_guard_sandbox_service_orders.bat,0.9,REVIEW:sandbox_name,в пути встречается 'sandbox'
RUN_CHECK_guard_sandbox_service_orders_v2.bat,0.8,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_CHECK_guard_sandbox_service_orders_v2.bat,0.8,REVIEW:sandbox_name,в пути встречается 'sandbox'
RUN_CHECK_guard_sandbox_service_orders_v2.bat,0.8,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v2), и рядом существует файл без суффикса: RUN_CHECK_guard_sandbox_service_orders.bat"
RUN_CHECK_phone_barrier_access_operational_sandbox.bat,0.3,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_CHECK_phone_barrier_access_operational_sandbox.bat,0.3,REVIEW:sandbox_name,в пути встречается 'sandbox'
RUN_CHECK_phone_barrier_access_sandbox_schema.bat,0.3,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_CHECK_phone_barrier_access_sandbox_schema.bat,0.3,REVIEW:sandbox_name,в пути встречается 'sandbox'
RUN_CHECK_profile_button_early_route_fix.bat,0.3,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_CHECK_profile_confirmation_ready_visibility_fix.bat,0.3,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_CHECK_profile_critical_codes_fix.bat,0.3,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_CHECK_profile_parking_time_test_sandbox.bat,0.3,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_CHECK_profile_parking_time_test_sandbox.bat,0.3,REVIEW:sandbox_name,в пути встречается 'sandbox'
RUN_CHECK_profile_test_candidate_apartment_40.bat,0.3,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_CHECK_profile_verification_sandbox.bat,0.3,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_CHECK_profile_verification_sandbox.bat,0.3,REVIEW:sandbox_name,в пути встречается 'sandbox'
RUN_CHECK_profile_verification_terminology_v2.bat,0.3,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_CHECK_service_code_compatibility_phone_v2.bat,0.3,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_FIND_actual_service_order_state.bat,0.8,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_FIX_live_services_sandbox_payment_schema.bat,1.1,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_FIX_live_services_sandbox_payment_schema.bat,1.1,REVIEW:sandbox_name,в пути встречается 'sandbox'
RUN_fix_source_ref_schema.bat,0.8,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_INSTALL_cashier_route_after_phone_v2.bat,0.3,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_INSTALL_phone_barrier_access_v2.bat,0.4,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_INSTALL_profile_button_early_route_fix.bat,0.3,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_INSTALL_profile_confirmation_ready_visibility_fix.bat,0.3,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_INSTALL_profile_critical_codes_fix.bat,0.3,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_INSTALL_profile_parking_time_test_v1.bat,0.3,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_INSTALL_profile_verification_terminology_v2.bat,0.3,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_INSTALL_profile_verification_v1.bat,0.3,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_INSTALL_service_code_compatibility_phone_v2.bat,0.3,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_MIGRATE_phone_barrier_access_operational_sandbox.bat,0.3,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_MIGRATE_phone_barrier_access_operational_sandbox.bat,0.3,REVIEW:sandbox_name,в пути встречается 'sandbox'
RUN_MIGRATE_phone_barrier_access_sandbox.bat,0.4,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_MIGRATE_phone_barrier_access_sandbox.bat,0.4,REVIEW:sandbox_name,в пути встречается 'sandbox'
RUN_MIGRATE_profile_parking_time_test_sandbox.bat,0.3,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_MIGRATE_profile_parking_time_test_sandbox.bat,0.3,REVIEW:sandbox_name,в пути встречается 'sandbox'
RUN_MIGRATE_profile_verification_sandbox.bat,0.3,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_MIGRATE_profile_verification_sandbox.bat,0.3,REVIEW:sandbox_name,в пути встречается 'sandbox'
RUN_MIGRATE_simplified_services_sandbox.bat,0.8,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_MIGRATE_simplified_services_sandbox.bat,0.8,REVIEW:sandbox_name,в пути встречается 'sandbox'
RUN_RETIRE_legacy_new_remote_test_orders_sandbox.bat,0.5,HIGH:one_off_fix_bundle,RUN_*.bat — запускатель одноразового фикса
RUN_RETIRE_legacy_new_remote_test_orders_sandbox.bat,0.5,REVIEW:sandbox_name,в пути встречается 'sandbox'
service_access_policy_old.py,11.0,HIGH:old_suffix,явный суффикс _old при наличии файла без него: service_access_policy.py
Start_OSBB_Guard_Sandbox_Bot_v2.bat,1.2,REVIEW:sandbox_name,в пути встречается 'sandbox'
Start_OSBB_Live_Services_Sandbox_Bot_v1.bat,1.0,REVIEW:sandbox_name,в пути встречается 'sandbox'
Start_OSBB_Live_Service_Sandbox_Bot.bat,1.1,REVIEW:sandbox_name,в пути встречается 'sandbox'
STOP_old_guard_sandbox_bots.bat,0.7,REVIEW:sandbox_name,в пути встречается 'sandbox'
Word_table_to_Excel.py,2.6,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
billing\import_ohorona_parking_time.py,13.3,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
billing\import_ohorona_parking_time_simple_preview.py,14.2,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
billing\import_parking_time_hints_from_ohorona.py,9.8,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
billing\report_missing_parking_time.py,0.0,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
billing\report_parking_time_review_tasks.py,6.2,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
